book,male_count,female_count,male_per10k,female_per10k,bias_log_ratio_m_over_f,bias_norm_index
War_and_Peace,28208,10890,486.2534454731783,187.72334164786272,0.9517325013932268,0.4429382577113919
Anna_Karenina,17947,11282,509.83188359686153,320.49497468879434,0.4641979767494818,0.22802695952649765
