word,count
eyes,275
husband,267
face,252
went,231
hand,226
felt,211
thought,209
herself,195
saw,193
anna,181
how,179
now,174
knew,162
kitty,162
love,155
see,152
before,148
head,143
looking,141
levin,141
came,135
vronsky,135
own,134
asked,130
though,120
mother,117
little,116
yes,115
come,115
made,113
