word,count
andrew,1238
himself,558
pierre,552
eyes,545
old,504
face,502
now,463
thought,456
head,438
looked,420
went,397
prince,392
felt,377
before,371
asked,367
hand,348
how,324
own,316
began,305
v,305
see,286
saw,285
told,277
will,270
seemed,270
vas,267
like,263
knew,254
took,244
rost,236
