word,count
levin,441
felt,407
went,379
himself,372
eyes,341
wife,323
thought,316
now,310
knew,291
saw,287
brother,278
face,277
own,250
hand,246
how,229
vronsky,226
before,224
though,213
old,208
come,208
see,206
looked,199
told,193
looking,188
love,186
head,186
know,185
go,181
life,179
made,176
