adverb,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
evidently,154.5787927520389,6.033348905119555,1.1078978915850894
ily,71.13795818677617,1.2928604796684762,0.0
orderly,33.187858380275685,0.7412400083432596,0.028407638245771524
silently,30.85284325625917,1.154955361837172,0.19885346772040066
tely,29.403689383867484,0.5343823315963034,0.0
involuntarily,25.35529452641878,1.3100986193973891,0.34089165894925827
formerly,23.544637931102507,0.7929544275299987,0.1136305529830861
previously,23.544637931102507,0.7929544275299987,0.1136305529830861
nearly,23.511414823617425,0.9825739645480418,0.19885346772040066
suddenly,22.517024129097138,7.446876362890422,4.914521416518474
occasionally,22.370771124896212,0.6205730302408685,0.05681527649154305
hastily,16.435306963469028,0.9136214056323898,0.2556687442119437
tolly,16.12460385566927,0.2930483753915213,0.0
only,16.0802695011501,22.40958164758692,18.521780136243034
smilingly,15.449364108335484,0.39647721376499934,0.028407638245771524
unexpectedly,15.220009330109722,0.9308595453613028,0.2840763824577152
namely,15.17609774651225,0.2758102356626082,0.0
sadly,15.17609774651225,0.2758102356626082,0.0
strongly,13.73027625059983,0.36200093430717334,0.028407638245771524
chiefly,13.33647733675171,0.6722874494276075,0.17044582947462913
closely,12.68881124519135,0.4826679124095644,0.08522291473731457
respectfully,12.642119636600173,0.7067637288854337,0.19885346772040066
infinitely,11.382073309884188,0.20685767674695618,0.0
probably,10.546332180961976,1.4307655974997802,0.7101909561442881
subsequently,10.433567200727172,0.18961953701804318,0.0
politely,10.433567200727172,0.18961953701804318,0.0
sometimes,10.247081394660597,2.292672583945431,1.363566635797033
personally,10.235174822723023,0.4826679124095644,0.1136305529830861
mindedly,9.485061091570156,0.17238139728913013,0.0
meekly,9.485061091570156,0.17238139728913013,0.0
threateningly,9.485061091570156,0.17238139728913013,0.0
slightly,8.723682617155845,1.034288383734781,0.4829298501781159
vainly,8.693832080433168,0.25857209593369523,0.028407638245771524
fixedly,8.693832080433168,0.25857209593369523,0.028407638245771524
comply,8.536554982413143,0.15514325756021713,0.0
latterly,8.536554982413143,0.15514325756021713,0.0
unpleasantly,7.878758246043797,0.2413339562047822,0.028407638245771524
similarly,7.588048873256125,0.1379051178313041,0.0
gully,7.588048873256125,0.1379051178313041,0.0
uselessly,7.588048873256125,0.1379051178313041,0.0
sternly,6.878594517121867,0.6722874494276075,0.2840763824577152
fiercely,6.639542764099109,0.1206669781023911,0.0
feverishly,6.639542764099109,0.1206669781023911,0.0
brotherly,6.639542764099109,0.1206669781023911,0.0
peacefully,6.639542764099109,0.1206669781023911,0.0
quietly,6.572568807445833,0.9480976850902157,0.4829298501781159
already,6.569405553533819,5.60239541189673,4.374776289848815
briskly,6.513289339532377,0.2758102356626082,0.05681527649154305
dimly,6.513289339532377,0.2758102356626082,0.05681527649154305
kindly,6.357279977895274,1.017050244005868,0.5397451266696589
solely,6.278723132480871,0.20685767674695618,0.028407638245771524
impetuously,5.691036654942094,0.10342883837347809,0.0
minutely,5.691036654942094,0.10342883837347809,0.0
willingly,5.691036654942094,0.10342883837347809,0.0
wildly,5.691036654942094,0.10342883837347809,0.0
mechanically,5.691036654942094,0.10342883837347809,0.0
seemingly,5.691036654942094,0.10342883837347809,0.0
disdainfully,5.691036654942094,0.10342883837347809,0.0
piercingly,5.691036654942094,0.10342883837347809,0.0
melancholy,5.163016060515728,0.4826679124095644,0.19885346772040066
pleasantly,5.117587411361511,0.2413339562047822,0.05681527649154305
joyfully,4.844359267419769,0.6378111699697815,0.3124840207034868
gracefully,4.742530545785078,0.08619069864456506,0.0
mutually,4.742530545785078,0.08619069864456506,0.0
regularly,4.742530545785078,0.08619069864456506,0.0
mortally,4.742530545785078,0.08619069864456506,0.0
masterly,4.742530545785078,0.08619069864456506,0.0
arbitrarily,4.742530545785078,0.08619069864456506,0.0
remarkably,4.742530545785078,0.08619069864456506,0.0
nataly,4.742530545785078,0.08619069864456506,0.0
sweetly,4.742530545785078,0.08619069864456506,0.0
blandly,4.742530545785078,0.08619069864456506,0.0
madly,4.742530545785078,0.08619069864456506,0.0
reasonably,4.742530545785078,0.08619069864456506,0.0
rapturously,4.730640471571551,0.17238139728913013,0.028407638245771524
irresistibly,4.730640471571551,0.17238139728913013,0.028407638245771524
folly,4.730640471571551,0.17238139728913013,0.028407638245771524
passionately,4.558212325264808,0.3275246548493473,0.1136305529830861
repeatedly,4.445492445583907,0.22409581647586918,0.05681527649154305
constantly,4.425442337584911,0.41371535349391236,0.17044582947462913
graciously,3.982469036268807,0.15514325756021713,0.028407638245771524
gradually,3.931771064981219,0.39647721376499934,0.17044582947462913
elderly,3.931771064981219,0.39647721376499934,0.17044582947462913
simultaneously,3.85010868322217,0.25857209593369523,0.08522291473731457
recently,3.85010868322217,0.25857209593369523,0.08522291473731457
badly,3.6926922783492113,0.7412400083432596,0.42611457368657285
generally,3.460704825190877,0.6550493096986946,0.3692992971950298
newly,3.45610454025328,0.37923907403608637,0.17044582947462913
then,3.4525313298526896,16.221089484907147,14.658341334818106
unusually,3.2566446697661884,0.1379051178313041,0.028407638245771524
energetically,3.2566446697661884,0.1379051178313041,0.028407638245771524
amiably,3.2566446697661884,0.1379051178313041,0.028407638245771524
frankly,2.7308178984307183,0.22409581647586918,0.08522291473731457
anxiously,2.7308178984307183,0.22409581647586918,0.08522291473731457
uneasily,2.7260060491114917,0.31028651512043426,0.1420381912288576
solemnly,2.5667391221481086,0.17238139728913013,0.05681527649154305
widely,2.5587937056807557,0.1206669781023911,0.028407638245771524
