adverb,War_and_Peace_count,War_and_Peace_per10k,Anna_Karenina_count,Anna_Karenina_per10k
consequently,17,0.2930483753915213,23,0.653375679652745
contemptuously,17,0.2930483753915213,21,0.596560403161202
resolutely,17,0.2930483753915213,18,0.5113374884238874
specially,17,0.2930483753915213,15,0.42611457368657285
highly,17,0.2930483753915213,14,0.3977069354408013
freely,17,0.2930483753915213,10,0.2840763824577152
secondly,17,0.2930483753915213,8,0.2272611059661722
reluctantly,17,0.2930483753915213,7,0.19885346772040066
tolly,17,0.2930483753915213,0,0.0
likely,16,0.2758102356626082,31,0.8806367856189172
frequently,16,0.2758102356626082,9,0.2556687442119437
readily,16,0.2758102356626082,9,0.2556687442119437
tenderly,16,0.2758102356626082,6,0.17044582947462913
independently,16,0.2758102356626082,5,0.1420381912288576
dimly,16,0.2758102356626082,2,0.05681527649154305
briskly,16,0.2758102356626082,2,0.05681527649154305
namely,16,0.2758102356626082,0,0.0
sadly,16,0.2758102356626082,0,0.0
possibly,15,0.25857209593369523,31,0.8806367856189172
extremely,15,0.25857209593369523,31,0.8806367856189172
ironically,15,0.25857209593369523,7,0.19885346772040066
awkwardly,15,0.25857209593369523,6,0.17044582947462913
reproachfully,15,0.25857209593369523,5,0.1420381912288576
terribly,15,0.25857209593369523,4,0.1136305529830861
recently,15,0.25857209593369523,3,0.08522291473731457
simultaneously,15,0.25857209593369523,3,0.08522291473731457
fixedly,15,0.25857209593369523,1,0.028407638245771524
vainly,15,0.25857209593369523,1,0.028407638245771524
deliberately,14,0.2413339562047822,16,0.4545222119323444
definitely,14,0.2413339562047822,8,0.2272611059661722
significantly,14,0.2413339562047822,7,0.19885346772040066
pleasantly,14,0.2413339562047822,2,0.05681527649154305
unpleasantly,14,0.2413339562047822,1,0.028407638245771524
lively,13,0.22409581647586918,23,0.653375679652745
actually,13,0.22409581647586918,18,0.5113374884238874
lately,13,0.22409581647586918,16,0.4545222119323444
partly,13,0.22409581647586918,15,0.42611457368657285
manly,13,0.22409581647586918,10,0.2840763824577152
instinctively,13,0.22409581647586918,9,0.2556687442119437
happily,13,0.22409581647586918,7,0.19885346772040066
unnaturally,13,0.22409581647586918,4,0.1136305529830861
anxiously,13,0.22409581647586918,3,0.08522291473731457
frankly,13,0.22409581647586918,3,0.08522291473731457
repeatedly,13,0.22409581647586918,2,0.05681527649154305
surely,12,0.20685767674695618,14,0.3977069354408013
swiftly,12,0.20685767674695618,14,0.3977069354408013
vaguely,12,0.20685767674695618,13,0.3692992971950298
sly,12,0.20685767674695618,8,0.2272611059661722
cheerfully,12,0.20685767674695618,6,0.17044582947462913
shyly,12,0.20685767674695618,4,0.1136305529830861
solely,12,0.20685767674695618,1,0.028407638245771524
infinitely,12,0.20685767674695618,0,0.0
gloomily,11,0.18961953701804318,23,0.653375679652745
purposely,11,0.18961953701804318,14,0.3977069354408013
warmly,11,0.18961953701804318,13,0.3692992971950298
freshly,11,0.18961953701804318,10,0.2840763824577152
worldly,11,0.18961953701804318,8,0.2272611059661722
impatiently,11,0.18961953701804318,7,0.19885346772040066
seldom,11,0.18961953701804318,3,0.08522291473731457
successfully,11,0.18961953701804318,3,0.08522291473731457
politely,11,0.18961953701804318,0,0.0
subsequently,11,0.18961953701804318,0,0.0
properly,10,0.17238139728913013,12,0.34089165894925827
thoroughly,10,0.17238139728913013,11,0.3124840207034868
abruptly,10,0.17238139728913013,8,0.2272611059661722
cautiously,10,0.17238139728913013,8,0.2272611059661722
separately,10,0.17238139728913013,4,0.1136305529830861
gladly,10,0.17238139728913013,3,0.08522291473731457
solemnly,10,0.17238139728913013,2,0.05681527649154305
rapturously,10,0.17238139728913013,1,0.028407638245771524
irresistibly,10,0.17238139728913013,1,0.028407638245771524
folly,10,0.17238139728913013,1,0.028407638245771524
mindedly,10,0.17238139728913013,0,0.0
meekly,10,0.17238139728913013,0,0.0
threateningly,10,0.17238139728913013,0,0.0
truly,9,0.15514325756021713,12,0.34089165894925827
apply,9,0.15514325756021713,9,0.2556687442119437
smoothly,9,0.15514325756021713,8,0.2272611059661722
peculiarly,9,0.15514325756021713,8,0.2272611059661722
noiselessly,9,0.15514325756021713,7,0.19885346772040066
earthly,9,0.15514325756021713,7,0.19885346772040066
violently,9,0.15514325756021713,6,0.17044582947462913
affectionately,9,0.15514325756021713,5,0.1420381912288576
splendidly,9,0.15514325756021713,4,0.1136305529830861
desperately,9,0.15514325756021713,4,0.1136305529830861
casually,9,0.15514325756021713,3,0.08522291473731457
sufficiently,9,0.15514325756021713,2,0.05681527649154305
gratefully,9,0.15514325756021713,2,0.05681527649154305
briefly,9,0.15514325756021713,2,0.05681527649154305
graciously,9,0.15514325756021713,1,0.028407638245771524
latterly,9,0.15514325756021713,0,0.0
comply,9,0.15514325756021713,0,0.0
awfully,8,0.1379051178313041,30,0.8522291473731457
promptly,8,0.1379051178313041,18,0.5113374884238874
ugly,8,0.1379051178313041,11,0.3124840207034868
undoubtedly,8,0.1379051178313041,7,0.19885346772040066
carelessly,8,0.1379051178313041,6,0.17044582947462913
disapprovingly,8,0.1379051178313041,6,0.17044582947462913
comfortably,8,0.1379051178313041,6,0.17044582947462913
thirdly,8,0.1379051178313041,5,0.1420381912288576
noisily,8,0.1379051178313041,5,0.1420381912288576
vely,8,0.1379051178313041,4,0.1136305529830861
triumphantly,8,0.1379051178313041,2,0.05681527649154305
unusually,8,0.1379051178313041,1,0.028407638245771524
energetically,8,0.1379051178313041,1,0.028407638245771524
amiably,8,0.1379051178313041,1,0.028407638245771524
similarly,8,0.1379051178313041,0,0.0
gully,8,0.1379051178313041,0,0.0
uselessly,8,0.1379051178313041,0,0.0
positively,7,0.1206669781023911,56,1.5908277417632053
precisely,7,0.1206669781023911,21,0.596560403161202
extraordinarily,7,0.1206669781023911,12,0.34089165894925827
dreadfully,7,0.1206669781023911,8,0.2272611059661722
strictly,7,0.1206669781023911,7,0.19885346772040066
imperceptibly,7,0.1206669781023911,6,0.17044582947462913
nervously,7,0.1206669781023911,5,0.1420381912288576
morally,7,0.1206669781023911,5,0.1420381912288576
excitedly,7,0.1206669781023911,3,0.08522291473731457
helplessly,7,0.1206669781023911,3,0.08522291473731457
hoarsely,7,0.1206669781023911,2,0.05681527649154305
piteously,7,0.1206669781023911,2,0.05681527649154305
cordially,7,0.1206669781023911,2,0.05681527649154305
steadily,7,0.1206669781023911,2,0.05681527649154305
feebly,7,0.1206669781023911,2,0.05681527649154305
widely,7,0.1206669781023911,1,0.028407638245771524
thoughtfully,7,0.1206669781023911,1,0.028407638245771524
singly,7,0.1206669781023911,1,0.028407638245771524
morosely,7,0.1206669781023911,1,0.028407638245771524
continuously,7,0.1206669781023911,1,0.028407638245771524
disorderly,7,0.1206669781023911,1,0.028407638245771524
fiercely,7,0.1206669781023911,0,0.0
brotherly,7,0.1206669781023911,0,0.0
peacefully,7,0.1206669781023911,0,0.0
feverishly,7,0.1206669781023911,0,0.0
exceedingly,6,0.10342883837347809,16,0.4545222119323444
unseemly,6,0.10342883837347809,8,0.2272611059661722
heavenly,6,0.10342883837347809,7,0.19885346772040066
jauntily,6,0.10342883837347809,5,0.1420381912288576
evenly,6,0.10342883837347809,5,0.1420381912288576
submissively,6,0.10342883837347809,5,0.1420381912288576
joyously,6,0.10342883837347809,4,0.1136305529830861
bitterly,6,0.10342883837347809,4,0.1136305529830861
naturedly,6,0.10342883837347809,4,0.1136305529830861
neatly,6,0.10342883837347809,3,0.08522291473731457
openly,6,0.10342883837347809,3,0.08522291473731457
greedily,6,0.10342883837347809,3,0.08522291473731457
approvingly,6,0.10342883837347809,3,0.08522291473731457
accidentally,6,0.10342883837347809,3,0.08522291473731457
correctly,6,0.10342883837347809,2,0.05681527649154305
secretly,6,0.10342883837347809,2,0.05681527649154305
absently,6,0.10342883837347809,2,0.05681527649154305
crossly,6,0.10342883837347809,2,0.05681527649154305
daily,6,0.10342883837347809,2,0.05681527649154305
wearily,6,0.10342883837347809,2,0.05681527649154305
ecstatically,6,0.10342883837347809,1,0.028407638245771524
proudly,6,0.10342883837347809,1,0.028407638245771524
ally,6,0.10342883837347809,1,0.028407638245771524
irritably,6,0.10342883837347809,1,0.028407638245771524
variously,6,0.10342883837347809,1,0.028407638245771524
enormously,6,0.10342883837347809,1,0.028407638245771524
skillfully,6,0.10342883837347809,1,0.028407638245771524
convulsively,6,0.10342883837347809,1,0.028407638245771524
leisurely,6,0.10342883837347809,1,0.028407638245771524
impetuously,6,0.10342883837347809,0,0.0
minutely,6,0.10342883837347809,0,0.0
willingly,6,0.10342883837347809,0,0.0
wildly,6,0.10342883837347809,0,0.0
mechanically,6,0.10342883837347809,0,0.0
seemingly,6,0.10342883837347809,0,0.0
disdainfully,6,0.10342883837347809,0,0.0
piercingly,6,0.10342883837347809,0,0.0
sickly,5,0.08619069864456506,6,0.17044582947462913
indifferently,5,0.08619069864456506,6,0.17044582947462913
rhythmically,5,0.08619069864456506,6,0.17044582947462913
smartly,5,0.08619069864456506,5,0.1420381912288576
totally,5,0.08619069864456506,4,0.1136305529830861
persistently,5,0.08619069864456506,3,0.08522291473731457
indubitably,5,0.08619069864456506,3,0.08522291473731457
sarcastically,5,0.08619069864456506,3,0.08522291473731457
perceptibly,5,0.08619069864456506,2,0.05681527649154305
confidently,5,0.08619069864456506,2,0.05681527649154305
elegantly,5,0.08619069864456506,1,0.028407638245771524
accurately,5,0.08619069864456506,1,0.028407638245771524
thickly,5,0.08619069864456506,1,0.028407638245771524
laboriously,5,0.08619069864456506,1,0.028407638245771524
pensively,5,0.08619069864456506,1,0.028407638245771524
exclusively,5,0.08619069864456506,1,0.028407638245771524
heartily,5,0.08619069864456506,1,0.028407638245771524
gracefully,5,0.08619069864456506,0,0.0
reasonably,5,0.08619069864456506,0,0.0
mutually,5,0.08619069864456506,0,0.0
regularly,5,0.08619069864456506,0,0.0
mortally,5,0.08619069864456506,0,0.0
masterly,5,0.08619069864456506,0,0.0
arbitrarily,5,0.08619069864456506,0,0.0
remarkably,5,0.08619069864456506,0,0.0
nataly,5,0.08619069864456506,0,0.0
sweetly,5,0.08619069864456506,0,0.0
blandly,5,0.08619069864456506,0,0.0
madly,5,0.08619069864456506,0,0.0
utterly,4,0.06895255891565205,84,2.386241612644808
intentionally,4,0.06895255891565205,9,0.2556687442119437
rightly,4,0.06895255891565205,9,0.2556687442119437
busily,4,0.06895255891565205,7,0.19885346772040066
unceasingly,4,0.06895255891565205,5,0.1420381912288576
obstinately,4,0.06895255891565205,5,0.1420381912288576
agreeably,4,0.06895255891565205,4,0.1136305529830861
sympathetically,4,0.06895255891565205,4,0.1136305529830861
dryly,4,0.06895255891565205,4,0.1136305529830861
questioningly,4,0.06895255891565205,3,0.08522291473731457
purely,4,0.06895255891565205,3,0.08522291473731457
cruelly,4,0.06895255891565205,3,0.08522291473731457
languidly,4,0.06895255891565205,3,0.08522291473731457
lazily,4,0.06895255891565205,3,0.08522291473731457
dearly,4,0.06895255891565205,2,0.05681527649154305
stiffly,4,0.06895255891565205,2,0.05681527649154305
honestly,4,0.06895255891565205,2,0.05681527649154305
decidedly,4,0.06895255891565205,2,0.05681527649154305
imploringly,4,0.06895255891565205,2,0.05681527649154305
intimately,4,0.06895255891565205,2,0.05681527649154305
modestly,4,0.06895255891565205,2,0.05681527649154305
laughingly,4,0.06895255891565205,1,0.028407638245771524
stealthily,4,0.06895255891565205,1,0.028407638245771524
mostly,4,0.06895255891565205,1,0.028407638245771524
imply,4,0.06895255891565205,1,0.028407638245771524
obediently,4,0.06895255891565205,1,0.028407638245771524
breathlessly,4,0.06895255891565205,1,0.028407638245771524
accordingly,4,0.06895255891565205,1,0.028407638245771524
gravely,4,0.06895255891565205,1,0.028407638245771524
deftly,4,0.06895255891565205,1,0.028407638245771524
affirmatively,4,0.06895255891565205,1,0.028407638245771524
complacently,4,0.06895255891565205,1,0.028407638245771524
indistinctly,4,0.06895255891565205,1,0.028407638245771524
stately,4,0.06895255891565205,1,0.028407638245771524
fortunately,4,0.06895255891565205,1,0.028407638245771524
eventually,4,0.06895255891565205,0,0.0
radiantly,4,0.06895255891565205,0,0.0
symmetrically,4,0.06895255891565205,0,0.0
patiently,4,0.06895255891565205,0,0.0
consistently,4,0.06895255891565205,0,0.0
decently,4,0.06895255891565205,0,0.0
portly,4,0.06895255891565205,0,0.0
confidentially,4,0.06895255891565205,0,0.0
conditionally,4,0.06895255891565205,0,0.0
rudely,4,0.06895255891565205,0,0.0
tightly,3,0.051714419186739045,17,0.4829298501781159
hotly,3,0.051714419186739045,10,0.2840763824577152
vigorously,3,0.051714419186739045,9,0.2556687442119437
capitally,3,0.051714419186739045,8,0.2272611059661722
wrongly,3,0.051714419186739045,7,0.19885346772040066
faintly,3,0.051714419186739045,7,0.19885346772040066
lonely,3,0.051714419186739045,7,0.19885346772040066
inwardly,3,0.051714419186739045,7,0.19885346772040066
genuinely,3,0.051714419186739045,6,0.17044582947462913
keenly,3,0.051714419186739045,6,0.17044582947462913
shortly,3,0.051714419186739045,6,0.17044582947462913
playfully,3,0.051714419186739045,5,0.1420381912288576
jolly,3,0.051714419186739045,5,0.1420381912288576
regretfully,3,0.051714419186739045,5,0.1420381912288576
invariably,3,0.051714419186739045,4,0.1136305529830861
shapely,3,0.051714419186739045,4,0.1136305529830861
gleefully,3,0.051714419186739045,4,0.1136305529830861
hopelessly,3,0.051714419186739045,4,0.1136305529830861
stubbornly,3,0.051714419186739045,4,0.1136305529830861
wholly,3,0.051714419186739045,3,0.08522291473731457
urgently,3,0.051714419186739045,3,0.08522291473731457
alternately,3,0.051714419186739045,3,0.08522291473731457
enthusiastically,3,0.051714419186739045,3,0.08522291473731457
justly,3,0.051714419186739045,3,0.08522291473731457
courteously,3,0.051714419186739045,3,0.08522291473731457
externally,3,0.051714419186739045,3,0.08522291473731457
doubly,3,0.051714419186739045,2,0.05681527649154305
compassionately,3,0.051714419186739045,2,0.05681527649154305
visibly,3,0.051714419186739045,2,0.05681527649154305
brilliantly,3,0.051714419186739045,2,0.05681527649154305
fourthly,3,0.051714419186739045,2,0.05681527649154305
favorably,3,0.051714419186739045,2,0.05681527649154305
condescendingly,3,0.051714419186739045,1,0.028407638245771524
acutely,3,0.051714419186739045,1,0.028407638245771524
restlessly,3,0.051714419186739045,1,0.028407638245771524
needlessly,3,0.051714419186739045,1,0.028407638245771524
spontaneously,3,0.051714419186739045,1,0.028407638245771524
audibly,3,0.051714419186739045,1,0.028407638245771524
irresolutely,3,0.051714419186739045,1,0.028407638245771524
peremptorily,3,0.051714419186739045,1,0.028407638245771524
instantaneously,3,0.051714419186739045,1,0.028407638245771524
forcibly,3,0.051714419186739045,1,0.028407638245771524
sorrowfully,3,0.051714419186739045,1,0.028407638245771524
barely,3,0.051714419186739045,1,0.028407638245771524
womanly,3,0.051714419186739045,1,0.028407638245771524
necessarily,3,0.051714419186739045,1,0.028407638245771524
sensibly,3,0.051714419186739045,1,0.028407638245771524
eternally,3,0.051714419186739045,0,0.0
innocently,3,0.051714419186739045,0,0.0
temporarily,3,0.051714419186739045,0,0.0
immeasurably,3,0.051714419186739045,0,0.0
mildly,3,0.051714419186739045,0,0.0
majestically,3,0.051714419186739045,0,0.0
characteristically,3,0.051714419186739045,0,0.0
lastly,3,0.051714419186739045,0,0.0
furiously,3,0.051714419186739045,0,0.0
ungainly,3,0.051714419186739045,0,0.0
ly,3,0.051714419186739045,0,0.0
safely,3,0.051714419186739045,0,0.0
advantageously,3,0.051714419186739045,0,0.0
eloquently,3,0.051714419186739045,0,0.0
incredulously,3,0.051714419186739045,0,0.0
inaudibly,3,0.051714419186739045,0,0.0
searchingly,3,0.051714419186739045,0,0.0
koly,3,0.051714419186739045,0,0.0
incoherently,3,0.051714419186739045,0,0.0
faithfully,3,0.051714419186739045,0,0.0
approximately,3,0.051714419186739045,0,0.0
painstakingly,3,0.051714419186739045,0,0.0
noticeably,3,0.051714419186739045,0,0.0
indolently,3,0.051714419186739045,0,0.0
spasmodically,3,0.051714419186739045,0,0.0
delightedly,3,0.051714419186739045,0,0.0
courtly,3,0.051714419186739045,0,0.0
mysteriously,3,0.051714419186739045,0,0.0
unconcernedly,3,0.051714419186739045,0,0.0
humoredly,2,0.034476279457826026,15,0.42611457368657285
exceptionally,2,0.034476279457826026,9,0.2556687442119437
chilly,2,0.034476279457826026,7,0.19885346772040066
practically,2,0.034476279457826026,7,0.19885346772040066
mournfully,2,0.034476279457826026,6,0.17044582947462913
cleverly,2,0.034476279457826026,5,0.1420381912288576
wrathfully,2,0.034476279457826026,5,0.1420381912288576
conscientiously,2,0.034476279457826026,4,0.1136305529830861
deferentially,2,0.034476279457826026,4,0.1136305529830861
horribly,2,0.034476279457826026,4,0.1136305529830861
satisfactorily,2,0.034476279457826026,4,0.1136305529830861
jestingly,2,0.034476279457826026,4,0.1136305529830861
considerably,2,0.034476279457826026,3,0.08522291473731457
inquisitively,2,0.034476279457826026,3,0.08522291473731457
earnestly,2,0.034476279457826026,3,0.08522291473731457
subtly,2,0.034476279457826026,3,0.08522291473731457
assembly,2,0.034476279457826026,3,0.08522291473731457
admirably,2,0.034476279457826026,2,0.05681527649154305
strikingly,2,0.034476279457826026,2,0.05681527649154305
presently,2,0.034476279457826026,2,0.05681527649154305
cleanly,2,0.034476279457826026,2,0.05681527649154305
adroitly,2,0.034476279457826026,2,0.05681527649154305
unobtrusively,2,0.034476279457826026,2,0.05681527649154305
motherly,2,0.034476279457826026,2,0.05681527649154305
outwardly,2,0.034476279457826026,2,0.05681527649154305
irregularly,2,0.034476279457826026,2,0.05681527649154305
loosely,2,0.034476279457826026,2,0.05681527649154305
fashionably,2,0.034476279457826026,1,0.028407638245771524
incomparably,2,0.034476279457826026,1,0.028407638245771524
unevenly,2,0.034476279457826026,1,0.028407638245771524
frantically,2,0.034476279457826026,1,0.028407638245771524
childishly,2,0.034476279457826026,1,0.028407638245771524
actively,2,0.034476279457826026,1,0.028407638245771524
zealously,2,0.034476279457826026,1,0.028407638245771524
rely,2,0.034476279457826026,1,0.028407638245771524
aimlessly,2,0.034476279457826026,1,0.028407638245771524
shamefully,2,0.034476279457826026,1,0.028407638245771524
recklessly,2,0.034476279457826026,1,0.028407638245771524
doubtfully,2,0.034476279457826026,1,0.028407638245771524
falsely,2,0.034476279457826026,1,0.028407638245771524
disagreeably,2,0.034476279457826026,1,0.028407638245771524
profoundly,2,0.034476279457826026,1,0.028407638245771524
emphatically,2,0.034476279457826026,1,0.028407638245771524
lovingly,2,0.034476279457826026,1,0.028407638245771524
viciously,2,0.034476279457826026,1,0.028407638245771524
circumspectly,2,0.034476279457826026,1,0.028407638245771524
decisively,2,0.034476279457826026,1,0.028407638245771524
apologetically,2,0.034476279457826026,1,0.028407638245771524
officially,2,0.034476279457826026,1,0.028407638245771524
touchingly,2,0.034476279457826026,1,0.028407638245771524
incautiously,2,0.034476279457826026,1,0.028407638245771524
increasingly,2,0.034476279457826026,1,0.028407638245771524
gallantly,2,0.034476279457826026,1,0.028407638245771524
indignantly,2,0.034476279457826026,0,0.0
numerically,2,0.034476279457826026,0,0.0
untimely,2,0.034476279457826026,0,0.0
clumsily,2,0.034476279457826026,0,0.0
dubiously,2,0.034476279457826026,0,0.0
mistrustfully,2,0.034476279457826026,0,0.0
voluntarily,2,0.034476279457826026,0,0.0
vehemently,2,0.034476279457826026,0,0.0
uninterruptedly,2,0.034476279457826026,0,0.0
maliciously,2,0.034476279457826026,0,0.0
skeptically,2,0.034476279457826026,0,0.0
artificially,2,0.034476279457826026,0,0.0
furtively,2,0.034476279457826026,0,0.0
diligently,2,0.034476279457826026,0,0.0
cunningly,2,0.034476279457826026,0,0.0
profusely,2,0.034476279457826026,0,0.0
dazzlingly,2,0.034476279457826026,0,0.0
privately,2,0.034476279457826026,0,0.0
vertically,2,0.034476279457826026,0,0.0
soldierly,2,0.034476279457826026,0,0.0
narrowly,2,0.034476279457826026,0,0.0
irreproachably,2,0.034476279457826026,0,0.0
scornfully,2,0.034476279457826026,0,0.0
unintentionally,2,0.034476279457826026,0,0.0
weally,2,0.034476279457826026,0,0.0
tenaciously,2,0.034476279457826026,0,0.0
pointedly,2,0.034476279457826026,0,0.0
interrogatively,2,0.034476279457826026,0,0.0
meditatively,2,0.034476279457826026,0,0.0
sedately,2,0.034476279457826026,0,0.0
virulently,2,0.034476279457826026,0,0.0
bluntly,2,0.034476279457826026,0,0.0
immutably,2,0.034476279457826026,0,0.0
infinitesimally,2,0.034476279457826026,0,0.0
sullenly,2,0.034476279457826026,0,0.0
impressively,2,0.034476279457826026,0,0.0
bully,2,0.034476279457826026,0,0.0
testily,2,0.034476279457826026,0,0.0
partially,2,0.034476279457826026,0,0.0
vifly,2,0.034476279457826026,0,0.0
vacantly,2,0.034476279457826026,0,0.0
offensively,2,0.034476279457826026,0,0.0
prettily,2,0.034476279457826026,0,0.0
electronically,2,0.034476279457826026,0,0.0
mathematically,2,0.034476279457826026,0,0.0
harshly,2,0.034476279457826026,0,0.0
unconditionally,2,0.034476279457826026,0,0.0
observantly,2,0.034476279457826026,0,0.0
comparatively,2,0.034476279457826026,0,0.0
disinterestedly,2,0.034476279457826026,0,0.0
patriotically,2,0.034476279457826026,0,0.0
provocatively,2,0.034476279457826026,0,0.0
finely,2,0.034476279457826026,0,0.0
despairingly,2,0.034476279457826026,0,0.0
